id,bracket_uuid,bracket_date,round_id
1,6f7d9424-a92a-45ac-9f9b-4035eff5efca,2022-10-05,4
2,9c6644e3-a6e4-4607-a1a5-94c358a9ea2e,2022-10-05,4
3,555876af-35c4-4dbf-9e62-7d7997bad467,2022-10-06,4
4,3870a3ff-d97d-4d36-bef9-ced826dc1cf9,2022-10-06,4
5,9ebb0d1e-2bcb-4f63-9a87-f0803208adfe,2022-10-07,5
6,8fb08df9-2542-4c46-a71c-8d2446d2165c,2022-10-08,5
8,89764aa8-2f86-43ef-9011-a3e58738e7bf,2021-09-29,7
9,bd57034c-f9d0-41ab-81e8-096a4a102902,2021-09-29,7
10,ec18d280-3b0f-4e62-adc1-c49376b83b71,2021-09-30,7
11,86b0ddd1-8eb2-451b-9106-1df18a454aaf,2021-09-30,7
12,46ec071f-5623-443e-a0fe-aa1a949da3ed,2021-10-01,8
13,f2b898d5-925e-4d82-b374-20667900a559,2021-10-01,8
14,ffeaedf3-e685-4844-9e30-569478903d57,2021-10-02,8
15,ddbca82e-03be-4444-abb0-1341b821947d,2021-10-02,8
16,14bc36e3-eb68-4175-a001-fc5b6a5075bc,2021-10-03,9
17,e3867a90-0f2a-480a-b387-fed55799e0b9,2021-10-04,9
18,54ce1357-d999-4e81-a7a0-a8e2ec852f7e,2021-10-05,10
19,6a07c7ca-181c-473f-8de3-339c14f53118,2020-09-30,11
20,56c4e609-2573-4b38-b3c2-847bee681707,2020-09-30,11
21,aab692c7-88a9-4b40-b73c-59333d4d0b88,2020-10-01,11
22,eb67a64e-ff3c-4648-b274-18da70f41465,2020-10-01,11
23,5f88c1d4-e64d-45f9-a70a-dd723a0d639c,2020-10-02,12
24,5b97eccd-8974-4d16-9653-a81634bd16e0,2020-10-02,12
25,0f040b41-79a2-45e8-a570-53ac290a0fe8,2020-10-03,12
26,643a507a-9b74-4aad-ac92-c98eb7e6672d,2020-10-03,12
27,64fa8009-5b5f-45fb-9642-046c71974073,2020-10-04,13
28,c32d6bad-6412-4d46-bd87-75e186ba47e9,2020-10-05,13
96,186679de-ab64-42d1-87c9-04e58be96740,2022-10-07,5
29,4bae3f84-8d65-485c-9b57-2e0600de90ce,2020-10-06,14
30,986be819-df37-415c-9f23-0c58834eb610,2019-10-02,15
